Channel,Count,Energy (keV)
610,185,-925.6456195737966
611,161,-925.3441199684296
612,163,-925.0426203630626
613,206,-924.7411207576956
614,182,-924.4396211523285
615,197,-924.1381215469615
616,178,-923.8366219415946
617,205,-923.5351223362276
618,186,-923.2336227308606
619,175,-922.9321231254935
620,177,-922.6306235201265
621,162,-922.3291239147595
622,175,-922.0276243093925
623,185,-921.7261247040256
624,175,-921.4246250986585
625,182,-921.1231254932915
626,195,-920.8216258879245
627,187,-920.5201262825575
628,196,-920.2186266771905
629,193,-919.9171270718234
630,195,-919.6156274664564
631,182,-919.3141278610894
632,146,-919.0126282557225
633,196,-918.7111286503555
634,173,-918.4096290449884
635,172,-918.1081294396214
636,162,-917.8066298342544
637,190,-917.5051302288874
638,165,-917.2036306235204
639,207,-916.9021310181533
640,165,-916.6006314127864
641,184,-916.2991318074194
642,179,-915.9976322020523
643,195,-915.6961325966853
644,185,-915.3946329913183
645,199,-915.0931333859513
646,181,-914.7916337805843
647,165,-914.4901341752172
648,161,-914.1886345698503
649,164,-913.8871349644833
650,155,-913.5856353591163
651,163,-913.2841357537493
652,179,-912.9826361483822
653,178,-912.6811365430152
654,192,-912.3796369376482
655,178,-912.0781373322812
656,151,-911.7766377269143
657,181,-911.4751381215472
658,155,-911.1736385161802
659,186,-910.8721389108132
660,201,-910.5706393054462
661,191,-910.2691397000792
662,171,-909.9676400947121
663,200,-909.6661404893451
664,170,-909.3646408839782
665,198,-909.0631412786112
666,171,-908.7616416732442
667,187,-908.4601420678771
668,180,-908.1586424625101
669,185,-907.8571428571431
670,161,-907.5556432517761
671,178,-907.2541436464091
672,183,-906.952644041042
673,181,-906.6511444356751
674,206,-906.3496448303081
675,173,-906.048145224941
676,161,-905.7466456195741
677,191,-905.445146014207
678,170,-905.14364640884
679,194,-904.842146803473
680,185,-904.540647198106
681,185,-904.239147592739
682,195,-903.937647987372
683,189,-903.636148382005
684,172,-903.334648776638
685,189,-903.0331491712709
686,183,-902.7316495659039
687,195,-902.4301499605369
688,185,-902.12865035517
689,176,-901.827150749803
690,169,-901.5256511444359
691,209,-901.2241515390689
692,154,-900.9226519337019
693,181,-900.6211523283349
